,features,type,IG
0,assertion-roulette,FlakeFlagger,0.002
1,conditional-test-logic,FlakeFlagger,0.002
2,eager-test,FlakeFlagger,0.0
3,fire-and-forget,FlakeFlagger,0.007
4,indirect-testing,FlakeFlagger,0.001
5,mystery-guest,FlakeFlagger,0.003
6,resource-optimism,FlakeFlagger,0.005
7,test-run-war,FlakeFlagger,0.001
8,testLength,FlakeFlagger,0.023
9,numAsserts,FlakeFlagger,0.006
10,numCoveredLines,FlakeFlagger,0.034
11,ExecutionTime,FlakeFlagger,0.121
12,projectSourceLinesCovered,FlakeFlagger,0.068
13,projectSourceClassesCovered,FlakeFlagger,0.058
14,hIndexModificationsPerCoveredLine_window5,FlakeFlagger,0.012
15,hIndexModificationsPerCoveredLine_window10,FlakeFlagger,0.017
16,hIndexModificationsPerCoveredLine_window25,FlakeFlagger,0.01
17,hIndexModificationsPerCoveredLine_window50,FlakeFlagger,0.028
18,hIndexModificationsPerCoveredLine_window75,FlakeFlagger,0.028
19,hIndexModificationsPerCoveredLine_window100,FlakeFlagger,0.028
20,hIndexModificationsPerCoveredLine_window500,FlakeFlagger,0.024
21,hIndexModificationsPerCoveredLine_window10000,FlakeFlagger,0.015
22,num_third_party_libs,FlakeFlagger,0.011
