static,dynamic,allFeatures
assertion-roulette,numCoveredLines,assertion-roulette
conditional-test-logic,ExecutionTime,conditional-test-logic
eager-test,projectSourceLinesCovered,eager-test
fire-and-forget,projectSourceClassesCovered,fire-and-forget
indirect-testing,hIndexModificationsPerCoveredLine_window5,indirect-testing
mystery-guest,hIndexModificationsPerCoveredLine_window10,mystery-guest
resource-optimism,hIndexModificationsPerCoveredLine_window25,resource-optimism
test-run-war,hIndexModificationsPerCoveredLine_window50,test-run-war
numAsserts,hIndexModificationsPerCoveredLine_window75,numAsserts
,hIndexModificationsPerCoveredLine_window100,numCoveredLines
,hIndexModificationsPerCoveredLine_window500,ExecutionTime
,hIndexModificationsPerCoveredLine_window10000,projectSourceLinesCovered
,num_third_party_libs,projectSourceClassesCovered
,,hIndexModificationsPerCoveredLine_window5
,,hIndexModificationsPerCoveredLine_window10
,,hIndexModificationsPerCoveredLine_window25
,,hIndexModificationsPerCoveredLine_window50
,,hIndexModificationsPerCoveredLine_window75
,,hIndexModificationsPerCoveredLine_window100
,,hIndexModificationsPerCoveredLine_window500
,,hIndexModificationsPerCoveredLine_window10000
,,num_third_party_libs
