features,type,IG
3221225472l,token,0.023
3221225473l,token,0.023
4294967294l,token,0.023
4294967295l,token,0.023
absolute,token,0.007
add,token,0.019
addblock,token,0.015
addcheckpoint,token,0.007
addcheckpointtest,token,0.007
addchild,token,0.038
addlocation,token,0.038
addownbytes,token,0.023
address,token,0.0
allocate,token,0.043
allocatedirect,token,0.03
already,token,0.138
append,token,0.015
array,token,0.057
arraylist,token,0.001
assert,token,0.008
assertequals,token,0.007
assertfalse,token,0.007
assertnotnull,token,0.062
assertnull,token,0.015
asserttrue,token,0.106
block,token,0.025
blockid,token,0.011
blockinfo,token,0.062
blockinfoexception,token,0.008
blockinstream,token,0.015
blocks,token,0.015
buf,token,0.017
buffer,token,0.001
builder,token,0.015
byte,token,0.089
bytearrayinputstream,token,0.015
bytearrayoutputstream,token,0.015
bytebuffer,token,0.026
bytebufferreader,token,0.054
bytebufferreadermatcher,token,0.054
bytebufferwriter,token,0.054
byteorder,token,0.054
bytes,token,0.019
cache,token,0.172
capacity,token,0.054
channel,token,0.011
checkpoint,token,0.008
child,token,0.038
children,token,0.038
class,token,0.011
clear,token,0.054
client,token,0.047
clientblockinfo,token,0.0
clientfileinfo,token,0.038
clients,token,0.007
close,token,0.099
cluster,token,0.067
cnt,token,0.019
col,token,0.011
column,token,0.03
columns,token,0.026
command,token,0.05
commandparameters,token,0.007
common,token,0.026
commonutils,token,0.026
comparable,token,0.023
comparabletest,token,0.023
compare,token,0.0
compareto,token,0.023
complete,token,0.0
compute,token,0.03
computeblockid,token,0.015
conf,token,0.007
constants,token,0.025
constructor,token,0.03
constructortest,token,0.023
copy,token,0.015
copyfromlocal,token,0.007
copytolocal,token,0.007
create,token,0.544
createblockrequestmessage,token,0.011
createblockresponsemessage,token,0.011
createbytefile,token,0.172
createfile,token,0.124
createfiletest,token,0.011
createnewfile,token,0.007
createpartition,token,0.007
createrawtable,token,0.075
createrawtablewithinvalidpathexceptiontest,token,0.007
createrawtablewithtablecolumnexceptiontest,token,0.011
current,token,0.468
currenttimemillis,token,0.468
data,token,0.013
datainputstream,token,0.015
dataoutputstream,token,0.015
dataservermessage,token,0.011
default,token,0.007
delete,token,0.058
deletedirectorywithdirectoriestest,token,0.007
deletedirectorywithfilestest,token,0.007
deletefiletest,token,0.007
delta,token,0.052
direct,token,0.03
directories,token,0.007
directory,token,0.007
dis,token,0.015
does,token,0.042
dos,token,0.015
edit,token,0.03
editlogpath,token,0.03
empty,token,0.058
emptyblockinstream,token,0.038
equal,token,0.079
equalincreasingbytearray,token,0.079
equals,token,0.017
equalstest,token,0.023
exception,token,0.351
exist,token,0.172
existing,token,0.011
expected,token,0.011
false,token,0.007
file,token,0.262
filealreadyexistexception,token,0.128
filedoesnotexistexception,token,0.042
fileid,token,0.232
fileids,token,0.026
fileinfo,token,0.026
fileinputstream,token,0.007
fileinstream,token,0.015
filenotfoundexception,token,0.007
fileoutputstream,token,0.007
files,token,0.05
filesize,token,0.026
finfo,token,0.015
finish,token,0.011
finishsending,token,0.011
fis,token,0.007
folder,token,0.004
fos,token,0.007
found,token,0.007
from,token,0.007
fs,token,0.067
generate,token,0.062
generatebytebuffer,token,0.054
get,token,0.024
getabsolutepath,token,0.007
getblockid,token,0.011
getbytebuffer,token,0.054
getcapacitybytes,token,0.007
getcheckpointpath,token,0.005
getchildrenids,token,0.023
getclient,token,0.007
getclientfileinfo,token,0.05
getcolumns,token,0.003
getcolumnstest,token,0.0
getcommandoutput,token,0.05
geteditlogpath,token,0.03
getfile,token,0.193
getfileblocks,token,0.015
getfileid,token,0.054
getid,token,0.005
getidtest,token,0.009
getincreasingbytearray,token,0.011
getincreasingbytebuffer,token,0.023
getincreasingintbuffer,token,0.015
getinodetype,token,0.023
getinodetypetest,token,0.023
getinstream,token,0.075
getlength,token,0.0
getlocations,token,0.001
getmasterinfo,token,0.015
getmetadata,token,0.0
getmetadatatest,token,0.0
getname,token,0.001
getnumberofchildren,token,0.03
getoutstream,token,0.011
getownbytes,token,0.015
getparentid,token,0.023
getpartition,token,0.007
getpath,token,0.015
getrawcolumn,token,0.007
getrawtable,token,0.038
getreadonlydata,token,0.011
gettachyonhome,token,0.015
getuserid,token,0.023
handler,token,0.015
has,token,0.0
hasnext,token,0.007
heap,token,0.023
heartbeat,token,0.001
